Key,Value
1949,1138020273708.0
1950,1167076785948.97
1951,1198056405564.0
1952,1229556208481.0
1953,1261958465923.0
1954,1295315557277.0
1955,1331820011437.0
1956,1370715033053.0
1957,1410953762534.0
1958,1452262591670.0
1959,1495520619659.0
1960,1541441929491.0
1961,1587805349496.0
1962,1635999405364.0
1963,1686869208385.0
1964,1740499354862.0
1965,1796449290741.0
1966,1854992081093.0
1967,1915375260252.0
1968,1979041006704.0
1969,2046872567155.0
1970,2120002961791.0
1971,2196135517049.0
1972,2275677413524.0
1973,2359400259208.0
1974,2443010522266.0
1975,2526942094855.0
1976,2615597796652.0
1977,2706519814700.0
1978,2800250358263.0
1979,2896677519682.0
1980,2992708404791.0
1981,3086349043998.0
1982,3179357410568.0
1983,3272921949388.0
1984,3369356457325.0
1985,3469183109208.0
1986,3570256076654.0
1987,3673791525679.0
1988,3780987268880.0
1989,3889445030160.0
1990,3999855167941.0
1991,4112279668263.0
1992,4220432738748.0
1993,4329059789989.0
1994,4437685887481.0
1995,4548178268889.0
1996,4661624043099.0
1997,4775280321938.0
1998,4888333073165.0
1999,5003462075987.0
2000,5121794010046.0
2001,5241332394264.0
2002,5363359700131.0
2003,5491369128800.0
2004,5623462013009.0
2005,5759526077124.0
2006,5899769520859.0
2007,6043620815690.0
2008,6189739589684.0
2009,6332790655362.0
2010,6483755071819.0
2011,6639237951625.0
2012,6797023057339.0
2013,6955712288646.0
2014,7115103507572.0
2015,7274532704709.0
2016,7433851786253.0
2017,7595636960822.0
2018,7760320290645.0
2019,7925762753840.0
2020,8083332898308.0
2021,8249025172866.0
1750,56103168.0
1751,112206336.0
1752,168331488.0
1753,224456640.0
1754,280603776.0
1755,336772896.0
1756,396811200.0
1757,456871500.0
1758,516953760.0
1759,577058040.0
1760,637162260.0
1761,703004340.0
1762,768868440.0
1763,834754440.0
1764,900662520.0
1765,966592500.0
1766,1040151000.0
1767,1113731400.0
1768,1187333880.0
1769,1260958260.0
1770,1334604660.0
1771,1416275220.0
1772,1497967800.0
1773,1579682280.0
1774,1661418840.0
1775,1743177240.0
1776,1833399600.0
1777,1923643980.0
1778,2013910200.0
1779,2104198680.0
1780,2194530840.0
1781,2295591180.0
1782,2396673780.0
1783,2497800180.0
1784,2598948480.0
1785,2700159272.0
1786,2815065824.0
1787,2930016416.0
1788,3044989168.0
1789,3160005760.0
1790,3275066272.0
1791,3403581424.0
1792,3534954120.0
1793,3666436580.0
1794,3797721360.0
1795,3929072168.0
1796,4066776168.0
1797,4211339440.0
1798,4361904228.0
1799,4520471008.0
1800,4688513015.98
1801,4855734528.0
1802,5075849280.0
1803,5255546448.0
1804,5462972904.0
1805,5658388500.0
1806,5867994904.0
1807,6088483404.0
1808,6297914124.0
1809,6507644820.0
1810,6735501952.0
1811,6972097432.0
1812,7217171506.0
1813,7463447038.0
1814,7715094290.0
1815,7974816838.0
1816,8259476904.0
1817,8554623038.0
1818,8850919548.0
1819,9149246210.0
1820,9451786328.0
1821,9758738132.0
1822,10077795432.0
1823,10415290150.0
1824,10764406874.0
1825,11126670550.0
1826,11492553872.0
1827,11885147816.0
1828,12281779032.0
1829,12676556698.0
1830,13213510340.99997
1831,13716146119.0
1832,14220739236.0
1833,14734520981.0
1834,15258593912.0
1835,15792621836.0
1836,16411812306.0
1837,17029346550.0
1838,17667545740.0
1839,18326215928.0
1840,19028043940.0
1841,19751328654.0
1842,20514514390.0
1843,21296100074.0
1844,22126021924.0
1845,23034873448.0
1846,23956189922.0
1847,24960429904.0
1848,25967952722.0
1849,27032532106.0
1850,28174322786.0
1851,29319000197.0
1852,30510638315.0
1853,31753467089.0
1854,33217858587.0
1855,34702524964.0
1856,36285490556.0
1857,37882500098.0
1858,39503645506.0
1859,41219221257.0
1860,43105880556.0
1861,45098348496.0
1862,47125317700.0
1863,49280025499.0
1864,51602604339.0
1865,54075543830.0
1866,56628418633.0
1867,59340441673.0
1868,62117314448.0
1869,65053991445.0
1870,68048870379.0
1871,71235618902.0
1872,74737003221.0
1873,78446228457.0
1874,81910581699.0
1875,85687646212.0
1876,89527161188.0
1877,93420355738.0
1878,97352133009.0
1879,101518567131.0
1880,106223152515.0
1881,111078411929.0
1882,116176685647.0
1883,121592567862.0
1884,127041959319.0
1885,132528273087.0
1886,138077242536.0
1887,143888446697.0
1888,150255787005.0
1889,156691499159.0
1890,163633553390.0
1891,170881946637.0
1892,178150054937.0
1893,185304716708.0
1894,192795808330.0
1895,200675415254.0
1896,208838167578.0
1897,217392385709.0
1898,226371548510.0
1899,236122245990.0
1900,246396257201.0
1901,256915971664.0
1902,267643804566.0
1903,279220254360.0
1904,290956231551.0
1905,303359991224.0
1906,316283752781.0
1907,330927403473.0
1908,345176994583.0
1909,359886468312.0
1910,375218199224.0
1911,390817513465.0
1912,407166372433.0
1913,424909027648.0
1914,440917583894.0
1915,456594629100.0
1916,473438348772.0
1917,490868570189.0
1918,507844673842.0
1919,522569103516.0
1920,539662824677.0
1921,554794100083.0
1922,570805354739.0
1923,588459358863.0
1924,606561121864.0
1925,624781012691.0
1926,642302395060.0
1927,661893568058.0
1928,681435000721.0
1929,702441384095.0
1930,721909787767.0
1931,739446755214.0
1932,755370176490.0
1933,772074540040.0
1934,790276087096.0
1935,809386079136.0
1936,830229048714.0
1937,852579054071.0
1938,873881789474.0
1939,896278507764.0
1940,920627769848.0
1941,945053029817.0
1942,969286847938.0
1943,994080068322.0
1944,1018767169408.0
1945,1038625803236.0
1946,1060900790855.0
1947,1085747304698.0
1948,1112022701947.0
